Incident,Estimated Start Time,Estimated Restored Time,Postcodes Impacted,Operator,Description
INCD-564721-s,2021-04-17 21:07,2021-04-17 22:07,"LL535AZ, LL635AD, LL635AJ, LL635AQ, LL635AZ, LL635BJ, LL635BQ, LL635BX, LL635BZ, LL635DJ, LL635DQ, LL635DX, LL635DZ, LL635EJ, LL635EQ, LL635EX, LL635EZ, LL635HX, LL635HY, LL635HZ, LL635LJ, LL635LQ, LL635LX, LL635LZ, LL635PJ, LL635PQ, LL635RJ, LL635RN, LL635RP, LL635RQ, LL635RR, LL635RW, LL635RX, LL635RY, LL635SH, LL635SL, LL635SN, LL635SR, LL635SS, LL635SW, LL635SY, LL635TA, LL635TB, LL635TD, LL635TE, LL635TF, LL635TG, LL635TN, LL635TU, LL635XX, LL635YH, LL635YL, LL635YN, LL635YP, LL635YR, LL635YS, LL635YU, LL635YY, LL645JP, LL645JR",SP,"There is a power cut affecting the  LL65 postcode area of Ty Croes. We had no advance warning of this and only became aware of it at  9:07PM.. Our control centre will attempt to reset the network remotely to restore power in stages, and our emergency response team are on their way to the local area to investigate the fault. Our team will work to get your power back on as quickly and as safely as possible, and we expect the power to be restored by 11:15PM. Once they arrive, or when we receive any update regarding the cause, we will be able to provide you with more information. We apologise for the inconvenience and thank you for your patience. This message was updated at 9:12PM on 17th April 2021.."
INCD-54694-V,2021-04-17 21:04,Unknown,"TN376JE, TN376JF, TN376JJ, TN376RG, TN376RH, TN376RJ, TN376RN, TN376RP, TN376RQ, TN376SB",UKPN,A fault occurred on a piece of our electrical equipment which controls the power to your home.
INCD-564709-s,2021-04-17 21:02,2021-04-17 22:59,"G720NH, G720NJ, G720NS, G720NT, G720NY, G720PR, G720QD, G729DB",SP,"There is a power cut in the G72 postcode area of Blantyre. We had no advance warning of this and only became aware of it at 8:59pm. Our next available engineer will attend site and the team will work to get your power back on as quickly and as safely as possible by midnight. Once they arrive, or when we receive any update regarding the cause, we will be able to provide you with more information. We apologise for the inconvenience and thank you for your patience. This message was updated at 9:16pm on Saturday, 17 April 2021"
INCD-59926-N,2021-04-17 20:48,2021-04-18 00:30,"SW100BN, SW100BW, SW100DR, SW100DT, SW100EB, SW100EE, SW100EN, SW100EP, SW100HE, SW100LF, SW100LG, SW100LR, SW100LU, EC1V2TT, SW100JL, SW100LE, SW100TR",UKPN,A fault occurred on a piece of our electrical equipment which controls the power to your home.
INCD-231600-Z,2021-04-17 20:22,2021-04-18 00:30,"WD258DB, WD28DB",UKPN,A fault occurred on a piece of our electrical equipment which controls the power to your home.
INCD-172372-A,2021-04-17 19:28,2021-04-17 22:30,BD16 3AZ,NP,Unknown P2 Awaiting
INCD-172371-A,2021-04-17 19:08,2021-04-17 22:15,HX3 7BU,NP,Unknown P2 In Progress
INCD-67-q,2021-04-17 19:02,2021-04-17 22:00,"EX10 9NQ, EX10 9AP, EX10 9AS, EX10 9AR, EX10 9AG, EX10 9NS, EX10 9AA",WPD,In Progress
INCD-66-q,2021-04-17 18:55,2021-04-17 22:00,"TR26 1LN, TR26 1LU, TR26 1LJ, TR26 1ND, TR26 1NB, TR26 1LW, TR26 1LP, TR26 1PE, TR26 1PT, TR26 1PF, TR26 1LH, TR26 1PU, TR26 1LL, TR26 1HR, TR26 1LT, TR26 1NA, TR26 1NZ, TR26 1NE, TR26 1LA, TR26 1HW, TR26 1JQ, TR26 1PB, TR26 1PS, TR26 1NL, TR26 1PZ, TR26 1LG",WPD,In Progress
INCD-59925-N,2021-04-17 18:53,2021-04-17 22:00,"N193JU, N193JX, N193TL, N193TN, N193TS, N193JY, N193TP, N193TT, N193TW",UKPN,A fault occurred on a piece of our electrical equipment which controls the power to your home.
